순위,관광지명,광역시,시/군/구,lat,lng,area_cd,are_nm,distance_to_center_km,중분류 카테고리,소분류 카테고리,검색건수,실내/실외 구분,추천 연령대,K-Beauty_추천_페르소나
1961,씨어터조이,서울특별시,종로구,37.5786741257057,127.0046415487,POI054,혜화역,0.444,문화관광,공연시설,648,실내,전연령,"중국, 홍콩"
1962,슈퍼키즈성장센터강남점,서울특별시,강남구,37.49792720826373,127.04448257183284,POI042,역삼역,0.77,레저스포츠,기타레저스포츠,646,실내,3040세대,공통(전체)
1963,여의도한강공원민속놀이마당,서울특별시,영등포구,37.5204628712126,126.942394520142,POI072,여의도,0.686,문화관광,도시공원,645,실외,3040세대,대만
1964,스토리에듀케이션,서울특별시,서초구,37.48844244652598,127.01557004133304,POI018,교대역,0.501,체험관광,체험관광기타,644,혼합,3040세대,대만
1965,골드레슬링,서울특별시,송파구,37.50405469484798,127.10579312961345,POI119,잠실역,1.14,레저스포츠,기타레저스포츠,644,혼합,전연령,공통(전체)
1966,상도어울마당,서울특별시,동작구,37.4992630371498,126.940378609472,POI063,노량진,1.655,문화관광,기타문화관광지,643,혼합,1020세대,일본
1967,옐드키즈룸,서울특별시,서초구,37.4880755719618,127.016770786024,POI018,교대역,0.579,문화관광,테마공원,643,혼합,3040세대,미국
1968,미스터팜팜,서울특별시,용산구,37.5380554154632,126.967215637351,POI030,삼각지역,0.644,문화관광,테마공원,643,혼합,3040세대,미국
1969,계남근린공원축구장,서울특별시,양천구,37.5087618705737,126.855409371458,POI117,신정네거리역,1.294,문화관광,레저스포츠시설,642,혼합,3040세대,대만
1970,천마공원,서울특별시,송파구,37.4996636025811,127.157225481903,POI048,장지역,3.602,문화관광,도시공원,642,실외,3040세대,대만
1971,개운산공원,서울특별시,성북구,37.5994048528472,127.0266272317581,POI035,성신여대입구역,1.101,문화관광,도시공원,642,실외,3040세대,대만
1972,법장사,서울특별시,중랑구,37.6149109872877,127.084050509635,POI056,회기역,3.612,역사관광,종교성지,641,혼합,5060세대,공통(전체)
1973,아르코꿈밭극장,서울특별시,종로구,37.58205739027816,127.00371680339792,POI054,혜화역,0.156,문화관광,공연시설,640,실내,전연령,"중국, 홍콩"
1974,평평창창탁구클럽,서울특별시,종로구,37.6100874407796,126.975446077077,POI066,북촌한옥마을,3.255,레저스포츠,기타레저스포츠,640,혼합,전연령,공통(전체)
1975,건너말공원,서울특별시,송파구,37.491828303457,127.124050295618,POI058,가락시장,1.18,문화관광,도시공원,636,실외,3040세대,대만
1976,불국사,서울특별시,강남구,37.5826405585762,126.964831044925,POI067,서촌,0.849,역사관광,종교성지,636,혼합,5060세대,공통(전체)
1977,정의공주묘,서울특별시,도봉구,37.6622474032896,127.023954548967,POI070,쌍문역,1.792,역사관광,역사유적지,635,실외,5060세대,공통(전체)
1978,준혁농원,서울특별시,서초구,37.45988810057785,127.01858651943674,POI041,양재역,3.07,체험관광,농/산/어촌체험,635,혼합,전연령,공통(전체)
1979,로운아트홀,서울특별시,양천구,37.527073608816,126.87074619294,POI125,안양천,0.963,문화관광,공연시설,635,실내,전연령,"중국, 홍콩"
1980,남인사마당,서울특별시,종로구,37.571493514391584,126.98736374801648,POI116,익선동,0.303,문화관광,공연시설,634,실내,전연령,"중국, 홍콩"
1981,스트라이크존서울가락구장,서울특별시,송파구,37.49572971358374,127.12051837783616,POI058,가락시장,0.871,레저스포츠,기타레저스포츠,632,혼합,전연령,공통(전체)
1982,에어즈락클라이밍,서울특별시,송파구,37.48107296659808,127.14243432289186,POI048,장지역,1.46,레저스포츠,기타레저스포츠,632,혼합,전연령,공통(전체)
1983,마곡NSP홀,서울특별시,강서구,37.5584636062639,126.824710107295,POI032,서울식물원·마곡나루역,0.906,문화관광,공연시설,631,실내,전연령,"중국, 홍콩"
1984,경복궁아트홀,서울특별시,종로구,37.5833521439842,126.970699806044,POI067,서촌,0.556,문화관광,공연시설,631,실내,전연령,"중국, 홍콩"
1985,새꿈어린이공원,서울특별시,용산구,37.5524236020485,126.974301632187,POI033,서울역,0.414,문화관광,도시공원,630,실외,3040세대,대만
1986,뮤지엄김치간,서울특별시,종로구,37.5736024547676,126.984903537733,POI078,인사동,0.121,문화관광,전시시설,630,실내,3040세대,"중국, 일본, 미국"
1987,화이트스톤갤러리,서울특별시,용산구,37.55419034544195,126.97821788960634,POI060,광장(전통)시장,0.557,문화관광,전시시설,629,실내,3040세대,"중국, 일본, 미국"
1988,뚝섬미술관,서울특별시,성동구,37.54718530515838,127.04834345244046,POI025,뚝섬역,0.085,문화관광,전시시설,629,실내,3040세대,"중국, 일본, 미국"
1989,청룡사,서울특별시,종로구,37.57999749544911,127.0167098710101,POI024,동대문역,1.07,역사관광,종교성지,628,혼합,5060세대,공통(전체)
1990,금천폭포공원,서울특별시,금천구,37.4466995872729,126.904249455656,POI013,가산디지털단지역,4.203,문화관광,도시공원,628,실외,3040세대,대만
1991,페인터즈광화문전용관 경향아트힐,서울특별시,중구,37.56815390855725,126.9696700482712,POI001,강남 MICE 관광특구,0.757,문화관광,공연시설,627,실내,전연령,"중국, 홍콩"
1992,백토공원,서울특별시,송파구,37.5081958694533,127.132442392975,POI127,올림픽공원,1.713,문화관광,도시공원,627,실외,3040세대,대만
1993,잼잼키즈룸송파점,서울특별시,송파구,37.505844681474,127.117557887113,POI058,가락시장,1.452,문화관광,테마공원,627,혼합,3040세대,미국
1994,장미마을마당,서울특별시,송파구,37.5181833806196,127.102683125218,POI119,잠실역,0.583,문화관광,도시공원,626,실외,전연령,대만
1995,상명대학교박물관,서울특별시,종로구,37.61051282942263,126.9760382700056,POI066,북촌한옥마을,3.288,문화관광,전시시설,625,실내,3040세대,"중국, 일본, 미국"
1996,서울형키즈카페구로구구로4동점,서울특별시,구로구,37.489605239669,126.886422891745,POI023,대림역,0.856,문화관광,테마공원,625,실내,3040세대,미국
1997,어반풋볼파크서울강서점,서울특별시,강서구,37.5483637475143,126.820719887144,POI027,발산역,1.888,문화관광,레저스포츠시설,624,혼합,전연령,"미국, 홍콩"
1998,도산안창호기념관,서울특별시,강남구,37.5239206199026,127.035507899928,POI071,압구정로데오거리,0.45,문화관광,전시시설,623,실내,3040세대,"중국, 일본, 미국"
1999,오유아트홀,서울특별시,강남구,37.4837356132787,127.046374781024,POI041,양재역,1.081,문화관광,공연시설,623,실내,전연령,"중국, 홍콩"
2000,열린극장,서울특별시,종로구,37.5836873454728,127.000335119644,POI054,혜화역,0.231,문화관광,공연시설,622,실내,전연령,"중국, 홍콩"
2001,인사동홍보관,서울특별시,종로구,37.5737356336895,126.98364018738,POI078,인사동,0.194,기타관광,기타관광,622,혼합,전연령,공통(전체)
2002,월계동각심재,서울특별시,노원구,37.6341066408227,127.050687083975,POI096,북서울꿈의숲,1.417,기타관광,기타관광,622,혼합,전연령,공통(전체)
2003,동작아트갤러리,서울특별시,동작구,37.493767750016,126.92313711636,POI123,보라매공원,0.237,문화관광,전시시설,620,실내,3040세대,"중국, 일본, 미국"
2004,다솜어린이공원,서울특별시,마포구,37.5625016431889,126.915356463751,POI073,연남동,0.582,문화관광,도시공원,620,실외,3040세대,대만
2005,하다아트홀,서울특별시,강남구,37.5096005288162,127.044764341014,POI034,선릉역,0.678,문화관광,기타문화관광지,620,혼합,1020세대,일본
2006,바운스트램폴린파크월계이마트센터,서울특별시,노원구,37.6265077394265,127.061978304613,POI096,북서울꿈의숲,1.826,문화관광,테마공원,619,실내,3040세대,미국
2007,헤이데이크로스핏,서울특별시,영등포구,37.5205515646184,126.887795663948,POI125,안양천,0.915,레저스포츠,기타레저스포츠,619,혼합,전연령,공통(전체)
2008,미트대명사,서울특별시,성동구,37.5702031157413,127.035557027095,POI045,왕십리역,1.003,쇼핑,시장,619,혼합,5060세대,대만
2009,극락정사,서울특별시,동작구,37.5780942057989,126.959408274175,POI124,서대문독립공원,0.541,역사관광,종교성지,618,혼합,5060세대,공통(전체)
2010,용산청년지음,서울특별시,용산구,37.5263602192749,126.966498990581,POI046,용산역,0.439,문화관광,기타문화관광지,617,혼합,1020세대,일본
