순위,상품명,카테고리 이름,브랜드 이름,가격,할인 가격,image_url,oliveyoung_best_combined_0317 (1),oliveyoung_best_combined_0318,oliveyoung_best_combined_0321,oliveyoung_best_combined_0325,oliveyoung_best_combined_0328,goods_no,
52,[1+1] 토리든 다이브인 저분자 히알루론산 클렌징폼 더블기획 (150ml+150ml),클렌징,토리든,26000.0,17290.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0018/A00000018987527ko.jpg?l=ko,29.0,23.0,29.0,21.0,18.0,A000000189875,
53,[망곰 콜라보] 비플레인 녹두 클렌징오일 200ml 더블 기획 (+마우스 손목패드),클렌징,비플레인,29000.0,24900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024544708ko.jpg?l=ko,43.0,16.0,18.0,22.0,22.0,A000000245447,
54,[손목세안밴드 증정]  포들 2엑스 프레시밤 밤투폼 130ml 단품/기획,클렌징,포들,27000.0,24500.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023042115ko.png?l=ko,39.0,10.0,20.0,45.0,13.0,A000000230421,
55,[미세먼지OUT/수분쫀쫀폼] 라곰 셀럽 마이크로 폼 클렌저 120ml x 2,클렌징,라곰,29000.0,24600.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023082136ko.jpg?l=ko,9.0,6.0,7.0,2.0,101.0,A000000230821,
56,[블랙헤드/모공세정] 닥터지 그린딥 포어 클렌징밤 100ml 더블/단품,클렌징,닥터지,24000.0,14250.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0020/A00000020764028ko.jpg?l=ko,24.0,20.0,35.0,26.0,27.0,A000000207640,
57,아누아 피디알엔 히알루론산 캡슐 100 세럼 30mL 기획세트 (+크림 30ml),스킨케어,아누아,39000.0,22500.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023189417ko.png?l=ko,101.0,10.0,1.0,13.0,4.0,A000000231894,
58,[하늘PICK/트러블1등] 셀라딕스 트러블 세범 리밸런싱 RX 131 앰플 30ml,스킨케어,셀라딕스,28900.0,25400.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0022/A00000022449411ko.jpg?l=ko,27.0,26.0,29.0,25.0,25.0,A000000224494,
59,[대용량] 아누아 어성초 포어 컨트롤 클렌징오일 350ml,클렌징,아누아,29900.0,19500.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0019/A00000019148314ko.png?l=ko,15.0,22.0,34.0,50.0,15.0,A000000191483,
60,[화잘먹/수분아침세안]  라곰 셀럽 젤 투 워터 클렌저 170ml x 2,클렌징,라곰,29900.0,25400.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023082225ko.jpg?l=ko,26.0,32.0,25.0,30.0,21.0,A000000230822,
61,[화잘먹/민감결케어] 한스킨 클렌징오일&블랙헤드 PHA 200ml 더블 기획 (+30ml),클렌징,한스킨,40000.0,23700.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0022/A00000022883604ko.jpg?l=ko,37.0,28.0,16.0,27.0,31.0,A000000228836,
62,[3월 올영픽] 라로슈포제 유비데아 안뗄리오스 톤업 로지 글로우 30ml 기획 (+3ml*3),더모 코스메틱,라로슈포제,38000.0,27000.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024769202ko.jpg?l=ko,35.0,32.0,23.0,24.0,28.0,A000000247692,
